check_id,title,framework,control_ref,category,severity,status,details,remediation,timestamp,collector,version,run_id,host,tags
SOC2-CC1.1,Information Security Policy Exists,soc2,CC1.1,Organization & Management,HIGH,PASS,Policy file found on host.,Maintain a documented Information Security Policy (ISP) and store it in a central location.,2026-02-22T21:39:54.872452Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['policy', 'governance']"
SOC2-CC1.2,Audit Daemon Active (Control Environment),soc2,CC1.2,Organization & Management,HIGH,PASS,auditd status: inactive,Enable and configure auditd to capture security-relevant events per CISA guidance.,2026-02-22T21:39:54.881536Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['audit', 'logging']"
SOC2-CC2.1,System Logging Service Active (syslog),soc2,CC2.1,Communication & Information,MEDIUM,PASS,syslog is active.,N/A,2026-02-22T21:39:54.935822Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['logging']
SOC2-CC3.1,Vulnerability Scanner Present,soc2,CC3.1,Risk Assessment,HIGH,WARN,No common vulnerability scanner found in PATH.,"Deploy a vulnerability scanner (e.g., Trivy, Lynis, Nessus) and schedule periodic scans.",2026-02-22T21:39:54.937044Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['vulnerability-management']
SOC2-CC3.2,Automated Patch Management Configured,soc2,CC3.2,Risk Assessment,HIGH,WARN,notfound,Enable unattended-upgrades (Debian/Ubuntu) or dnf-automatic (RHEL) for automatic security patches.,2026-02-22T21:39:54.944937Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['patch-management']
SOC2-CC4.1,Log Forwarding / SIEM Agent Present,soc2,CC4.1,Monitoring Activities,HIGH,WARN,No log forwarding agent detected.,"Deploy a log forwarding agent (Filebeat, Fluentd, Splunk UF) to send logs to a SIEM.",2026-02-22T21:39:54.993393Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['siem', 'monitoring']"
SOC2-CC4.2,System Uptime Metrics Captured,soc2,CC4.2,Monitoring Activities,LOW,PASS,System uptime: 0 days (boot: 2026-02-22T11:43:20).,N/A,2026-02-22T21:39:54.994075Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['availability']
SOC2-CC5.1,Host Firewall Active (macOS),soc2,CC5.1,Control Activities,HIGH,PASS,Firewall is active: active (macOS socketfilterfw),N/A,2026-02-22T21:39:55.014770Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['firewall', 'network']"
SOC2-CC6.1,Password Policy (login.defs),soc2,CC6.1,Logical Access,HIGH,SKIP,/etc/login.defs not found (non-Linux or container environment).,Ensure OS-level password policies are enforced.,2026-02-22T21:39:55.015493Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['passwords', 'iam']"
SOC2-CC6.3,SSH Root Login Disabled,soc2,CC6.3,Logical Access,CRITICAL,PASS,PermitRootLogin = no,Set PermitRootLogin no in /etc/ssh/sshd_config and reload sshd.,2026-02-22T21:39:55.016211Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['ssh', 'iam']"
SOC2-CC6.4,SSH Protocol Version 2 Only,soc2,CC6.4,Logical Access,HIGH,PASS,Protocol = 2,Set Protocol 2 in /etc/ssh/sshd_config.,2026-02-22T21:39:55.016542Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['ssh', 'iam']"
SOC2-CC6.5,World-Writable Files in /tmp,soc2,CC6.5,Logical Access,MEDIUM,PASS,No world-writable files found in /tmp.,Review and remediate world-writable files. Use sticky bit on shared directories.,2026-02-22T21:39:55.025104Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,['file-permissions']
SOC2-CC7.2,Listening Network Services Inventory,soc2,CC7.2,System Operations,INFO,PASS,Network listening services captured for review.,Disable unnecessary services and ports per principle of least functionality.,2026-02-22T21:39:55.035398Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['network', 'inventory']"
SOC2-CC8.1,Version Control System (git) Available,soc2,CC8.1,Change Management,MEDIUM,PASS,git found in PATH.,Ensure all infrastructure and application changes are tracked in a version control system.,2026-02-22T21:39:55.036166Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['change-management', 'scm']"
SOC2-CC9.1,Backup Tooling Present,soc2,CC9.1,Risk Mitigation,HIGH,PASS,"Backup tools found: ['rsync', 'aws', 'gsutil']","Implement automated, tested backups and verify restore procedures quarterly.",2026-02-22T21:39:55.066110Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['backup', 'bcp']"
SOC2-A1.1,Disk Usage < 85%,soc2,A1.1,Availability,LOW,PASS,disk_pct = 19.3%,Investigate high disk_pct. Scale resources or archive data.,2026-02-22T21:39:56.067248Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['availability', 'capacity']"
SOC2-A1.2,CPU Usage < 90%,soc2,A1.1,Availability,LOW,PASS,cpu_pct = 3.5%,Investigate high cpu_pct. Scale resources or archive data.,2026-02-22T21:39:56.067743Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['availability', 'capacity']"
SOC2-A1.3,Memory Usage < 90%,soc2,A1.1,Availability,LOW,PASS,mem_pct = 67.1%,Investigate high mem_pct. Scale resources or archive data.,2026-02-22T21:39:56.068051Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['availability', 'capacity']"
SOC2-C1.1,OpenSSL / TLS Tooling Present,soc2,C1.1,Confidentiality,MEDIUM,PASS,openssl found in PATH.,Install openssl and enforce TLS â‰¥ 1.2 for all data-in-transit.,2026-02-22T21:39:56.068628Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['encryption', 'tls']"
SOC2-C1.2,Disk Encryption Detected (LUKS/dm-crypt),soc2,C1.2,Confidentiality,HIGH,WARN,No LUKS-encrypted volumes detected. Verify encryption at-rest.,Enable LUKS encryption on all volumes containing sensitive data.,2026-02-22T21:39:56.078557Z,ComplianceEvidenceCollector,2.0.0,BCDBC5D3,black.tximhotep.com,"['encryption', 'data-at-rest']"
